Time, Value,,0,0,0
0,0,,0.256515059,0,0
0,0,,0.395144405,0,0
0,0,,0.483011474,0,0
1,0.256515059,,0.545512609,0,0
1,0,,0.594343429,0,0
1,0,,0.337828369,0.297438812,0
2,0.395144405,,0.337828369,0.333462791,0
2,0,,0.337828369,0.366246683,0
2,0,,0.337828369,0.396758121,0
3,0.483011474,,0.337828369,0.4255911,0
3,0,,0.337828369,0.196612368,0
3,0,,0.199199024,0.223107322,0
4,0.545512609,,0.111331954,0.248737323,0
4,0,,0.048830819,0.273627736,0
4,0,,0,0.297869842,0
5,0.594343429,,0,0.280607848,0
5,0,,0,0.267716966,0
5,0,,0,0.257577676,0
6,0.337828369,,0,0.249254241,0
6,0.297438812,,0,0.242178561,0
6,0,,0,0.235990324,0
7,0.337828369,,0,0.230452479,0
7,0.333462791,,0,0.225404386,0
7,0,,0,0.220734592,0
8,0.337828369,,0,0.216364291,0
8,0.366246683,,0,0.212236876,0
8,0,,0,0.208311106,0
9,0.337828369,,0,0.204556535,0
9,0.396758121,,0,0.200950377,0
9,0,,0,0.197475341,0
10,0.337828369,,0,0.194118095,0
10,0.4255911,,0,0.19086819,0
10,0,,0,0.187717288,0
11,0.337828369,,0,0.184658611,0
11,0.196612368,,0,0.18168654,0
11,0,,0,0.178796329,0
12,0.199199024,,0,0.175983895,0
12,0.223107322,,0,0.173245665,0
12,0,,0,0.170578468,0
13,0.111331954,,0,0.167979445,0
13,0.248737323,,0,0.165445994,0
13,0,,0,0.162975722,0
14,0.048830819,,0,0.160566409,0
14,0.273627736,,0,0.158215982,0
14,0,,0,0.155922496,0
15,0,,0,0.153684117,0
15,0.297869842,,0,0.151499107,0
15,0,,0,0.149365816,0
16,0,,0,0.147282675,0
16,0.280607848,,0,0.145248185,0
16,0,,0,0.143260914,0
17,0,,0,0.141319492,0
17,0.267716966,,0,0.139422603,0
17,0,,0,0.137568985,0
18,0,,0,0.135757428,0
18,0.257577676,,0,0.133986764,0
18,0,,0,0.13225587,0
19,0,,0,0.130563666,0
19,0.249254241,,0,0.128909109,0
19,0,,0,0.127291192,0
20,0,,0,0.125708943,0
20,0.242178561,,0,0.124161424,0
20,0,,0,0.122647729,0
21,0,,0,0.121166979,0
21,0.235990324,,0,0.119718325,0
21,0,,0,0.118300945,0
22,0,,0,0.116914043,0
22,0.230452479,,0,0.115556847,0
22,0,,0,0.11422861,0
23,0,,0,0.112928605,0
23,0.225404386,,0,0.111656129,0
23,0,,0,0.110410499,0
24,0,,0,0.109191052,0
24,0.220734592,,0,0.107997144,0
24,0,,0,0.106828148,0
25,0,,0,0.105683458,0
25,0.216364291,,0,0.104562483,0
25,0,,0,0.103464647,0
26,0,,0,0.102389392,0
26,0.212236876,,0,0.101336175,0
26,0,,0,0.100304467,0
27,0,,0,0.099293753,0
27,0.208311106,,0,0.098303534,0
27,0,,0,0.09733332,0
28,0,,0,0.096382639,0
28,0.204556535,,0,0.095451027,0
28,0,,0,0.094538034,0
29,0,,0,0.093643223,0
29,0.200950377,,0,0.092766165,0
29,0,,0,0.091906445,0
30,0,,0,0.091063657,0
30,0.197475341,,0,0.090237406,0
30,0,,0,0.089427307,0
31,0,,0,0.088632984,0
31,0.194118095,,0,0.08785407,0
31,0,,0,0.08709021,0
32,0,,0,0.077364591,0.008976463
32,0.19086819,,0,0.068047472,0.017558793
32,0,,0,0.058957574,0.025927935
33,0,,0,0.050235218,0.033943248
33,0.187717288,,0,0.040884385,0.042600435
33,0,,0,0.033725299,0.049078964
34,0,,0,0.024474213,0.057662284
34,0.184658611,,0,0.016756412,0.064724818
34,0,,0,0.008377546,0.07246063
35,0,,0,0,0.080207057
35,0.18168654,,0,0,0.079587601
35,0,,0,0,0.078979545
36,0,,0,0,0.078382629
36,0.178796329,,,,
36,0,,,,
37,0,,,,
37,0.175983895,,,,
37,0,,,,
38,0,,,,
38,0.173245665,,,,
38,0,,,,
39,0,,,,
39,0.170578468,,,,
39,0,,,,
40,0,,,,
40,0.167979445,,,,
40,0,,,,
41,0,,,,
41,0.165445994,,,,
41,0,,,,
42,0,,,,
42,0.162975722,,,,
42,0,,,,
43,0,,,,
43,0.160566409,,,,
43,0,,,,
44,0,,,,
44,0.158215982,,,,
44,0,,,,
45,0,,,,
45,0.155922496,,,,
45,0,,,,
46,0,,,,
46,0.153684117,,,,
46,0,,,,
47,0,,,,
47,0.151499107,,,,
47,0,,,,
48,0,,,,
48,0.149365816,,,,
48,0,,,,
49,0,,,,
49,0.147282675,,,,
49,0,,,,
50,0,,,,
50,0.145248185,,,,
50,0,,,,
51,0,,,,
51,0.143260914,,,,
51,0,,,,
52,0,,,,
52,0.141319492,,,,
52,0,,,,
53,0,,,,
53,0.139422603,,,,
53,0,,,,
54,0,,,,
54,0.137568985,,,,
54,0,,,,
55,0,,,,
55,0.135757428,,,,
55,0,,,,
56,0,,,,
56,0.133986764,,,,
56,0,,,,
57,0,,,,
57,0.13225587,,,,
57,0,,,,
58,0,,,,
58,0.130563666,,,,
58,0,,,,
59,0,,,,
59,0.128909109,,,,
59,0,,,,
60,0,,,,
60,0.127291192,,,,
60,0,,,,
61,0,,,,
61,0.125708943,,,,
61,0,,,,
62,0,,,,
62,0.124161424,,,,
62,0,,,,
63,0,,,,
63,0.122647729,,,,
63,0,,,,
64,0,,,,
64,0.121166979,,,,
64,0,,,,
65,0,,,,
65,0.119718325,,,,
65,0,,,,
66,0,,,,
66,0.118300945,,,,
66,0,,,,
67,0,,,,
67,0.116914043,,,,
67,0,,,,
68,0,,,,
68,0.115556847,,,,
68,0,,,,
69,0,,,,
69,0.11422861,,,,
69,0,,,,
70,0,,,,
70,0.112928605,,,,
70,0,,,,
71,0,,,,
71,0.111656129,,,,
71,0,,,,
72,0,,,,
72,0.110410499,,,,
72,0,,,,
73,0,,,,
73,0.109191052,,,,
73,0,,,,
74,0,,,,
74,0.107997144,,,,
74,0,,,,
75,0,,,,
75,0.106828148,,,,
75,0,,,,
76,0,,,,
76,0.105683458,,,,
76,0,,,,
77,0,,,,
77,0.104562483,,,,
77,0,,,,
78,0,,,,
78,0.103464647,,,,
78,0,,,,
79,0,,,,
79,0.102389392,,,,
79,0,,,,
80,0,,,,
80,0.101336175,,,,
80,0,,,,
81,0,,,,
81,0.100304467,,,,
81,0,,,,
82,0,,,,
82,0.099293753,,,,
82,0,,,,
83,0,,,,
83,0.098303534,,,,
83,0,,,,
84,0,,,,
84,0.09733332,,,,
84,0,,,,
85,0,,,,
85,0.096382639,,,,
85,0,,,,
86,0,,,,
86,0.095451027,,,,
86,0,,,,
87,0,,,,
87,0.094538034,,,,
87,0,,,,
88,0,,,,
88,0.093643223,,,,
88,0,,,,
89,0,,,,
89,0.092766165,,,,
89,0,,,,
90,0,,,,
90,0.091906445,,,,
90,0,,,,
91,0,,,,
91,0.091063657,,,,
91,0,,,,
92,0,,,,
92,0.090237406,,,,
92,0,,,,
93,0,,,,
93,0.089427307,,,,
93,0,,,,
94,0,,,,
94,0.088632984,,,,
94,0,,,,
95,0,,,,
95,0.08785407,,,,
95,0,,,,
96,0,,,,
96,0.08709021,,,,
96,0,,,,
97,0,,,,
97,0.077364591,,,,
97,0.008976463,,,,
98,0,,,,
98,0.068047472,,,,
98,0.017558793,,,,
99,0,,,,
99,0.058957574,,,,
99,0.025927935,,,,
100,0,,,,
100,0.050235218,,,,
100,0.033943248,,,,
101,0,,,,
101,0.040884385,,,,
101,0.042600435,,,,
102,0,,,,
102,0.033725299,,,,
102,0.049078964,,,,
103,0,,,,
103,0.024474213,,,,
103,0.057662284,,,,
104,0,,,,
104,0.016756412,,,,
104,0.064724818,,,,
105,0,,,,
105,0.008377546,,,,
105,0.07246063,,,,
106,0,,,,
106,0,,,,
106,0.080207057,,,,
107,0,,,,
107,0,,,,
107,0.079587601,,,,
108,0,,,,
108,0,,,,
108,0.078979545,,,,
109,0,,,,
109,0,,,,
109,0.078382629,,,,
