Time, Quantity
7,19999.999999999996
8,39999.99999999999
9,59999.99999999999
10,80000.0
11,99999.99999999999
12,120000.00000000001
13,140000.00000000006
14,160000.00000000003
15,180000.00000000003
16,200000.0
17,200000.00000000003
18,200000.0
19,200000.00000000006
20,199999.99999999997
21,200000.0000000001
22,199999.99999999997
23,200000.0
24,199999.99999999997
25,200000.0
26,199999.99999999997
27,199999.99999999997
28,200000.00000000012
29,199999.99999999994
30,200000.00000000006
31,199999.99999999997
32,199999.99999999997
33,200000.0000000001
34,200000.0
35,200000.00000000003
36,200000.0
37,200000.00000000003
38,199999.9999999999
39,200000.00000000003
40,199999.99999999997
41,200000.0
42,200000.0
43,199999.99999999994
44,199999.99999999994
45,199999.99999999997
46,199999.99999999997
47,200000.00000000003
48,200000.00000000006
49,200000.00000000003
50,200000.0
51,200000.0000000001
52,199999.99999999997
53,199999.99999999997
54,200000.0
55,200000.00000000003
56,200000.0
57,200000.00000000003
58,200000.0
59,200000.00000000003
60,200000.0
61,200000.00000000003
62,200000.00000000003
63,199999.99999999994
64,200000.00000000003
65,199999.99999999997
66,200000.0
67,200000.0
68,199999.99999999997
69,199999.99999999994
70,200000.00000000003
71,200000.0
72,199999.9999999999
73,199999.99999999997
74,199999.9999999999
75,200000.0
76,200000.0
77,199999.99999999997
78,200000.00000000006
79,200000.00000000006
80,200000.0
81,200000.0
82,199999.99999999997
83,199999.99999999997
84,200000.00000000003
85,200000.0000000001
86,199999.99999999994
87,200000.0000000001
88,199999.99999999997
89,199999.99999999994
90,200000.0
91,200000.0
92,200000.00000000003
93,200000.00000000003
94,200000.0
95,199999.99999999994
96,180000.0
97,160000.00000000003
98,139999.99999999997
99,120000.00000000003
100,100000.0
101,79999.99999999997
102,59999.99999999999
103,39999.999999999985
104,20000.000000000004
